Player,Team,Credit
anuj,kaaleen,250
nitin,kaaleen,95
charchit,kaaleen,160
madhu,kaaleen,140
rishavA,kaaleen,65
anubhav,kaaleen,45
jitesh,kaaleen,140
rishavG,munna,250
mridul,munna,180
aman,munna,70
nilay,munna,240
harsh,munna,160
akshat,munna,20
divyang,munna,30
shivam,guddu,250
krishna,guddu,160
shreyansh,guddu,65
pushpak,guddu,55
akhil,guddu,20
pratham,guddu,45
harshit,guddu,190
ankit,bablu,250
tanay,bablu,25
adarsh,bablu,90
vedant,bablu,100
naitik,bablu,150
gaurav,bablu,200
shubham,bablu,35
